common_name,n
WEEPING CUTLEAF BIRCH,94
YULAN MAGNOLIA,94
HONEYLOCUST,93
LUCAS COLUMNAR HORNBEAM,92
THUNDERCLOUD PURPLE PLUM,88
LEPRECHAUN ASH,87
FRAGRANT SNOWBELL,86
BIG LEAF LINDEN,85
LOMBARDY POPLAR,85
MAGNOLIA 'VULCAN',85
PINE SPECIES,85
TRICOLOR BEECH,85
WATERER GOLDENCHAIN TREE,85
BLACK WALNUT,84
JAPANESE BEECH,82
WESTERN CATALPA,82
WHITE HIMALAYAN BIRCH,80
WHITCOMB CHERRY,79
ALLGOLD EUROPEAN ASH,78
SNAKEBARK MAPLE,78
YOSHINO CHERRY,78
SITKA SPRUCE,77
WILD CHERRY,75
ENGLISH ELM,74
GREEN COLUMN BLACK MAPLE,74
MAGNOLIA 'CAERHAYS BELLE',74
OAK SPECIES,73
BLOODGOOD JAPANESE MAPLE,72
REDSPIRE PEAR,70
APPLE SPECIES,69
SHUMARD OAK,69
STELLAR PINK DOGWOOD,69
AMANOGAWA JAPANESE CHERRY,68
CEDAR SPECIES,68
CRIMSON SENTRY NORWAY MAPLE,67
GIANT DOGWOOD,66
COMMOM CHOKECHERRY,65
CRIMSON SUNSET MAPLE,64
GOLD CLOUD ASH,64
KOTO NO IKO JAPANESE MAPLE,63
PURPLE PLUM,63
SAWARA FALSECYPRESS,63
RED RAGE TUPELO,62
COLORADO SPRUCE,61
SERVICEBERRY,61
WEEPING JAPANESE CHERRY,61
ACCOLADE CHERRY,60
BAILEY SELECT CHOKECHERRY,58
BUR OAK,57
GOLDEN BEECH,57
MAGNOLIA SPECIES,56
SERBIAN SPRUCE,56
GRAY BIRCH,54
MOUNTAIN ASH SPECIES,54
PERE DAVIDS MAPLE,54
GOLDEN DESERT ASH,53
PORTUGUESE LAUREL,53
SOUTHERN MAGNOLIA,53
MORAINE HONEYLOCUST,52
ROSTHERN CRABAPPLE,52
ROYAL RED NORWAY MAPLE,52
TURKISH HAZELNUT,52
SCARLET MAPLE FRANK JR,51
SINGLE SEED HAWTHORN,51
SKYMASTER ENGLISH OAK,51
SKYROCKET ENGLISH OAK,51
SNOWCLOUD CRABAPPLE,51
PYRAMIDAL EUROPEAN BIRCH,49
SPANISH CHESTNUT,49
HUGARIAN OAK,48
ROYAL SPLENDOR CRABAPPLE,48
CHANCELLOR LINDEN,47
GREEN MOUNTAIN NORWAY MAPLE,47
HARVEST ORANGE JPN MAPLE,47
PYRAMIDAL AMERICAN HORNBEAM,47
CRIMSON SPIRE OAK,46
ENGLISH YEW,46
BLACK COTTONWOOD,45
FALSECYPRESS SPECIES,45
MAGNOLIA 'YELLOW BIRD',45
WEEPING WILLOW,45
EASTERN REDCEDAR,44
EVELYN HEDGE MAPLE,44
PYRAMIDAL ARBORVITAE,44
CHINA GIRL DOGWOOD,43
CONQUEST MAPLE,43
DOGWOOD SPECIES,43
GLOBE CATALPA,43
SPRUCE SPECIES,42
HARLEQUIN AH,41
ROYALTY CRABAPPLE,41
COLORADO BLUE SPRUCE,40
RED JAPANESE MAPLE,40
SOVEREIGN PIN OAK,40
TREMBLING ASPEN,40
BLACK CHERRY,39
FERNLEAF COPPER BEECH,38
GOLDENRAIN TREE,38
HILLIER SPIRE CHERRY,38
NORTHERN PIN OAK,38
ARBORVITAE SPECIES,37
KENTUCKY COFFEETREE,37
MAGNOLIA 'VICTORIA',37
ORANGEBARK STEWARTIA,37
PEAR SPECIES,36
REDLEAF BEECH,36
SPECKLED ALDER,36
ELWOOD NORWAY MAPLE,35
PIN CHERRY,35
YELLOWWOOD,35
CATALPA SPECIES,33
SNOW GOOSE CHERRY,33
AMERICAN BEECH,32
CHINESE REDBUD AVONDALE,32
EUROPEAN BIRDCHERRY,32
HOLLY SPECIES,32
RED FOX KATSURA,32
CORNEL DOGWOOD,30
CALIFORNIA INCENSE CEDAR,29
CHINESE WINGNUT,29
ENGLISH WALNUT,29
SIEBOLD'S MAGNOLIA,29
BAUMANN'S SEEDLESS HORSECHESTN,28
COLUMNAR SARGENT CHERRY,28
HAWTHORN SPECIES,28
WEEPING NOOTKA CYPRESS,28
BUTTERNUT,27
FALL GOLD BLACK ASH,27
WHITE SPRUCE,27
CORNELIAN CHERRY,26
KINDRED SPIRIT OAK,26
SOUTHERN BEECH,26
TCHONOSKI CRABAPPLE,26
GOLDEN GIANT ARBORVITAE,25
WILDFIRE BLACK GUM,25
APPRICOT PLUM,24
PONDEROSA PINE,24
TATARIAN MAPLE,24
WEEPING BEECH,24
AUTUMN GOLD ASH,23
STAGHORN SUMAC,23
COMMON PLUM,22
ELM SPECIES,22
GOLDEN CAUCASIAN MAPLE,22
HORNBEAM SPECIES,22
PURPLE ROBE LOCUST,22
ROUND LEAF BEECH,22
COLUMNAR RED MAPLE,21
CUTLEAF SILVER MAPLE,21
DOWNY HAWTHORN,21
VAUGHN HAWTHORN,21
